Date,"System 0-A
(纯规则 S4)","System 1
(纯ML)","System 4
(ML+ATR+BBL+TOCE)","System 5
(完整ARMS)","MA均线交叉
(5/20)",B&H
2020-02-06,1136813.6059184188,1071857.0219819935,981426.3321507471,1009630.4460978262,1430764.7159212353,1037211.1926617017
2020-02-07,1173614.051920145,1091441.191103431,977254.4883819654,1004198.2592397404,1421773.02670246,1047634.0481563627
2020-02-10,1216255.3458375498,1093674.8621829508,982681.375599367,1009528.2761133179,1455316.420832793,1061882.949129459
2020-02-11,1219827.6114466721,1081729.7986276865,989266.8664186612,1013989.7612073576,1459031.865289624,1062619.3013095635
2020-02-12,1270938.3374149837,1093442.5134341468,997309.9080081754,1016210.0499865694,1531578.68472255,1077316.3719155805
2020-02-13,1280836.212798384,1103846.926955598,997189.5580633588,1015995.5570061262,1523395.897029719,1070132.850972093
2020-02-14,1272688.7051834213,1125973.4664156898,1008616.5866948875,1022225.6230921661,1493932.4536417306,1075641.5490107085
2020-02-17,1318904.1329102656,1137575.1446501855,1018929.9586290453,1025472.9637611562,1541252.0628605706,1104258.163564201
2020-02-18,1319535.3300434654,1133473.6274405266,1020681.3248747247,1025402.4997306453,1563227.1361402608,1110919.8491792125
2020-02-19,1248677.1713337998,1099433.5386871716,1011932.8376138156,1025614.6516397118,1538844.1676433627,1105622.2376972828
2020-02-20,1223122.819720593,1106214.7521333701,1010649.6152132563,1030301.6828724771,1587618.7601735287,1126152.8228429875
2020-02-21,1226847.5042762503,1106856.246639942,1014978.5679032117,1030612.7693572565,1573508.89199104,1131132.0517722063
2020-02-24,1250739.5530322462,1106090.4274189998,1025115.3369733342,1030305.2516413897,1546405.5026945597,1138003.926182767
2020-02-25,1339841.0517545007,1100517.1784970602,1040180.3752538897,1030444.668300765,1605534.0220544278,1144604.7865411679
2020-02-26,1293593.008233109,1093943.1772462917,1019653.8398431008,1027732.6427700875,1593193.7678814596,1134639.4862247226
2020-02-27,1231756.846159572,1095233.735002829,1018129.1332538694,1024895.872095628,1582498.9467384522,1137277.8668276179
2020-02-28,1180616.791763417,1081895.6471694654,1000182.4200158236,1017464.0911300655,1463493.6243626934,1086704.4027276242
2020-03-02,1230822.3711288485,1097604.0905838,1018584.1966756228,1042067.4488176134,1522608.7416543362,1125288.5855509404
2020-03-03,1236224.0283295775,1105463.6882074017,1021442.6781484713,1045008.7824540255,1536290.4784554467,1137656.2916801078
2020-03-04,1227794.5345728244,1106691.274130833,1018335.1088495982,1044707.537678335,1506886.370882927,1145444.2376078635
2020-03-05,1243047.5556339277,1123429.7170190422,1027927.9468456227,1043762.8632395876,1552724.1346439396,1169144.7928123053
2020-03-06,1269242.636228133,1118684.2807382764,1018014.9249047446,1041354.4281715208,1560273.3139779794,1162919.6284490572
2020-03-09,1246788.5818432139,1106213.2157189406,1007497.6899028282,1034936.9562784382,1493609.4180162512,1128870.518698038
2020-03-10,1257417.8161311643,1111206.7645688097,1006823.4850986956,1037398.0423172739,1552974.9252416976,1150796.4660062424
2020-03-11,1214678.901143454,1095533.6716030587,983817.1533409948,1012609.140393957,1477632.3257166015,1136110.5090851563
2020-03-12,1153833.4728479206,1072497.9465217176,963423.6317538717,990163.0664524406,1474132.1258436327,1113146.6756895653
2020-03-13,1108689.067760818,1081223.2313164102,961139.4436954883,981051.071363967,1420453.3173016119,1097711.3213940368
2020-03-16,1075582.4433104894,1064959.2086183298,922232.6310050822,952174.0794833653,1334897.5118282733,1057457.4535208545
2020-03-17,1042392.4922919719,1052628.6080986366,916099.2042593068,933311.7384283501,1270780.0087215807,1052436.8983912882
2020-03-18,1054255.098594901,1039210.7012196555,913460.1272881454,936164.8573658387,1221900.7410051913,1034730.9886099853
2020-03-19,1066029.6021093403,1060468.6165992434,917090.6476157982,935568.768602771,1198377.1292732486,1038081.6214269312
2020-03-20,1074792.5972697332,1057441.2936474145,917295.5587743736,935749.2773331633,1234366.3920440048,1052941.029784681
2020-03-23,1018091.8186245554,1041495.6507185408,900215.289740869,923907.334921838,1191201.6827335276,1013564.1033497516
2020-03-24,1011303.2390697903,1049649.6816716625,902435.5640116257,923907.334921838,1193156.3174190847,1034869.5068337577
2020-03-25,1038220.3830018264,1063210.1779995386,905767.7876861553,923817.2539566832,1217742.4200016053,1062662.9506424055
2020-03-26,1037208.2904686278,1058887.2098478717,901662.3434684416,922307.3466166648,1217139.8846943635,1052734.815061178
2020-03-27,1043851.1264933174,1058782.7896853245,898562.4241967984,919180.8540506961,1171985.2809055783,1051103.5580945197
2020-03-30,1088084.4900731612,1056355.2056704927,892292.5849230862,916173.8810344441,1134777.3825110407,1039220.0356303776
2020-03-31,1080243.1577850215,1050988.4662867156,910854.9007250656,924391.4071106946,1140918.0444967935,1045825.429132559
2020-04-01,1076949.9340442054,1045439.9269520367,900706.1028425677,918146.5323616168,1097922.8263454777,1038944.3856950782
2020-04-02,1088616.18001776,1053243.2267774728,898494.2162297794,918105.6516463441,1087362.4687075936,1056189.349577521
2020-04-03,1043224.4275399302,1046745.8993836155,891979.902059217,914960.2111923433,1093200.7183744893,1050270.0341834188
2020-04-07,1078454.7603392943,1055894.1392572385,897074.866460115,915897.8069803285,1124155.7259404275,1079578.921868991
2020-04-08,1073701.5988403098,1054796.0992330452,895895.7786414444,916662.9168982641,1103749.3896169313,1079832.419455763
2020-04-09,1078783.1096464035,1055362.455893293,897156.9845248039,917715.1720037154,1116262.3237967254,1088281.2737403973
2020-04-10,1024558.6888255569,1051073.21055085,891716.0783678266,911695.607244143,1089297.4926979502,1075314.8219097594
2020-04-13,1043767.4005297178,1048312.0918330336,889846.0792956415,911577.7605371436,1100189.9811050172,1069032.1684599218
2020-04-14,1055793.7736189265,1054092.4956787513,891965.3244810537,915055.6888404655,1093082.4012502106,1090818.0306619955
2020-04-15,1035309.899842937,1060332.2349056744,891472.8188831793,914855.7306117909,1079769.983231221,1083884.341269763
2020-04-16,1030711.1850831218,1055907.3964832525,884810.7345595291,912253.2987262368,1079170.4783212563,1085296.9046109982
2020-04-17,1076451.1405209375,1061998.426416295,888209.0988464706,909342.8101863571,1063137.28154626,1090783.68952283
2020-04-20,1069442.1285868105,1058401.1908391367,885401.793141117,906637.3035823456,1055276.903918064,1097026.4335858342
2020-04-21,1059872.4067275813,1052169.2183998614,881623.077874295,901483.2044366625,1034368.3851240731,1088362.3076522707
2020-04-22,1060163.6865519085,1054475.021663715,882681.0830839109,901066.1494556916,1023926.3094958881,1095521.7086961414
2020-04-23,1048202.902684039,1052517.6110547825,882602.3409655571,902076.1381005414,1032461.8876114353,1095038.7424069005
2020-04-24,1005657.9363877857,1047880.1339810727,877384.6079989842,894846.3266504251,995775.7420150755,1078543.501032328
2020-04-27,1019159.225486754,1051668.0121721816,879216.6233042652,891388.6256854106,966471.112209476,1078859.550447424
2020-04-28,1024485.2587788294,1052694.865749124,881927.8203705698,893648.8891015387,965093.4798523028,1070693.8246142562
2020-04-29,1009688.1614359231,1043928.3500385466,873287.15388647,890285.6344032624,955605.2041680306,1065885.1865567646
2020-04-30,1029393.5582779489,1043495.8709266045,881564.69208816,890228.0482257755,940770.3406072084,1084056.2553967426
2020-05-06,1058924.7854160808,1051313.008323336,878434.930447344,891730.7593693831,944612.8841484248,1100772.8853637332
2020-05-07,1066914.5665572367,1055746.6403550813,881371.2343854022,889378.3087961844,955719.5780666241,1094947.4648071665
2020-05-08,1088467.4231515103,1056399.93485857,889465.6025971608,892247.4309798264,965410.9898282553,1101240.4232721142
2020-05-11,1090471.6955510878,1050663.20597026,876885.2413877774,884503.2018986273,972023.1520700835,1097884.0248524963
2020-05-12,1085125.80433768,1061409.9746926534,878994.8828974434,887065.6233939008,983438.5690101794,1098274.775373074
2020-05-13,1073981.8516926127,1057755.2309648772,878905.5995372611,887897.7722243826,985455.1191804422,1101301.088045211
2020-05-14,1052118.1962932167,1048913.4393294947,865107.2901994716,883013.1456809886,978292.9814664286,1093046.8308077753
2020-05-15,1044363.4126835334,1054537.3305480618,870302.4047403873,887986.4544693563,975455.242106971,1097586.8596658683
2020-05-18,1044493.5343139153,1061261.6903762317,867542.0820454921,886438.4942684645,995694.149460362,1101217.982530667
2020-05-19,1057549.2973274533,1068333.1819756753,876295.7846168943,886292.8760847496,1005587.2895922861,1114143.8426334376
2020-05-20,1066930.5200795333,1062062.0572908644,876175.854866649,887007.9424409207,991921.9691734487,1108202.7569913706
2020-05-21,1052320.7947304696,1055248.3132681279,874117.1009794959,886108.3680182686,998020.3198020995,1092302.214491509
2020-05-22,1038177.3985060289,1044010.139118017,864571.620409465,881863.8202327451,977190.7003981419,1070521.1656867515
2020-05-25,1033523.4127817756,1046040.510905398,869134.2522061656,876806.6356783784,985479.8248738492,1070086.9880462151
2020-05-26,1047742.3890795697,1046191.318063303,874556.1378214355,882423.3829358676,994404.8437040306,1086012.134219848
2020-05-27,1037745.8491549031,1044830.3054747961,867069.1395260814,879929.035178487,979264.1338873629,1080292.4197392697
2020-05-28,1025753.3611930143,1044175.3165925356,843614.957639791,870680.8234287713,970166.0751993934,1073466.6022713496
2020-05-29,953785.5673170461,1047740.153935919,858542.3359245311,876115.1400629993,947542.1052442049,1072213.5666828414
2020-06-01,992429.9713143086,1054902.3342798096,867830.585145527,880827.2445318025,968145.8407804926,1100302.2852485639
2020-06-02,994526.2017339674,1060100.8639892614,866129.0138399936,880450.7382177735,951181.1026479977,1102355.7177962288
2020-06-03,1008811.685910713,1066427.2043474005,863506.0484570396,879952.2427190391,958043.4703082851,1101200.6413602058
2020-06-04,993865.3768717842,1064058.963871291,867875.5620213444,881531.4493254548,950705.9074647687,1096775.7091520603
2020-06-05,972000.3988037496,1060682.410289241,869097.4119781584,880382.3684272498,926799.5734714476,1095821.519465541
2020-06-08,963888.8252446387,1062297.7492859482,866981.3861653424,880389.0116940245,931961.9007441538,1099908.1661513587
2020-06-09,977893.6675668854,1062094.5001685915,868389.6040012925,883658.8744467588,931878.0279261137,1105432.2470610926
2020-06-10,995092.7368383812,1069921.636363072,871639.7597296435,885651.2132389507,941799.9713361403,1104307.2058841966
2020-06-11,981708.3719375384,1072704.1307739904,882036.59952,891566.5374651344,937548.7176068419,1097579.4982983319
2020-06-12,967581.4591448419,1076493.8640472132,879248.0626633938,896592.5421795518,955700.638054942,1102009.9782698771
2020-06-15,967987.8311259336,1068036.4150697088,872143.8802622972,893294.4257831676,922860.9325358763,1095412.9812011877
2020-06-16,976035.2163364941,1062211.4263176485,880504.5024583628,895978.5798942227,926299.3780141509,1110732.241508357
2020-06-17,982133.521199579,1061811.554739949,879012.5357043493,898092.0665238712,922231.7798740634,1110542.9808249648
2020-06-18,982247.0308555823,1039579.8076318535,881224.9169439722,894115.4554415283,873383.9588947579,1111670.8042995024
2020-06-19,974213.9226236887,1042170.9252627937,887941.1643529658,898169.2153474065,890128.8598603377,1119326.3342719513
2020-06-22,978620.5347981254,1051867.9388726724,893807.1517654387,898808.0446736569,897088.0514113136,1124599.8207296433
2020-06-23,976668.9802477611,1056345.2098224668,900928.2542480795,898277.9477678739,908172.6282223329,1127868.0448473713
2020-06-24,968533.6536574289,1068601.3058635236,906154.0333293201,897083.393898408,900179.2090136076,1125368.450593158
2020-06-29,977691.0748123825,1067543.9569858834,917148.4707162813,899044.8954193898,887601.051637428,1118980.882949592
2020-06-30,981761.6444860348,1075679.6793500052,921404.8133616865,900708.7430382282,905773.3089010366,1133116.756203191
2020-07-01,979813.5577489121,1098434.6110698532,931360.8186544057,899927.7369575946,893330.2569487408,1146802.3812131644
2020-07-02,990585.6390149475,1102954.365863378,936044.4048505544,894963.567401866,916829.1849465573,1168752.0561799817
2020-07-03,1018585.8945040603,1114040.1863149586,954532.4845169886,907803.50168983,927322.9979128573,1187250.603186468
2020-07-06,1052324.7037964908,1127636.9772584054,971898.3424808498,912771.5552131789,946367.9498302838,1241682.3541856816
2020-07-07,1091710.0474129375,1155727.76841088,977797.755426155,912712.6898595376,950333.8839073388,1248141.8519545477
2020-07-08,1086221.5547993565,1157880.2808338497,985614.5555084377,912444.5778940425,983275.2553242352,1268119.7975436714
2020-07-09,1120017.835411964,1167245.439094889,997375.8968889719,915175.1728300594,1033638.7323751353,1298646.7906849505
2020-07-10,1098971.8840927999,1168303.7823178666,1002124.2627812882,914260.0102011622,1033051.3055808691,1281128.1044187048
2020-07-13,1167828.7223514935,1202872.0843465098,1024703.6061277264,934888.7751149278,1089571.3044145647,1327451.1630039979
2020-07-14,1137025.6758589665,1171084.631956535,1028453.4479254325,926657.1776498546,1118920.9172757312,1313558.6947816832
2020-07-15,1130040.6641292875,1169994.1305163058,1032968.1614857847,924858.465964729,1095959.6281500563,1291042.5100988564
2020-07-16,1054431.5754137333,1141226.1415918723,993732.4062858825,909283.0043816747,1014549.4554475364,1229327.7381513407
2020-07-17,1044102.9016417137,1135877.6742369425,994595.0645218367,912050.0950085706,1024721.0947962085,1231112.626900993
2020-07-20,1072417.9177649848,1153985.1703136843,1002011.2991254416,928897.6561536867,1049830.242592663,1272896.364684129
2020-07-21,1077309.5947144101,1145249.7285886207,1012600.3546380299,930785.274286262,1066749.6224337094,1279042.900279073
2020-07-22,1070450.976463847,1146533.760457411,1010183.4395969172,930370.5928028665,1068623.4501787596,1283005.2186100306
2020-07-23,1081385.9118711627,1145394.3228325774,1027353.1367781939,929919.6936557305,1107663.7233726194,1279533.36968346
2020-07-24,1001397.9251296623,1106497.9900519603,1009545.2161154851,917527.3129931334,1042790.749277464,1228430.3403118642
2020-07-27,1028699.1514236262,1112276.1852854162,1020693.2070885417,927827.662448855,1048759.0245924932,1238701.693488476
2020-07-28,1055692.80465098,1126965.3837387888,1028999.1422223231,927987.4180065263,1047007.8503244822,1250063.4518410412
2020-07-29,1088993.2067332582,1136730.1772688793,1038925.7651193048,934300.8702787389,1094738.5114101146,1276731.978073685
2020-07-30,1098130.9596907708,1133366.9319334666,1045277.3734456617,933633.6379404741,1087503.1857527483,1270301.2221017105
2020-07-31,1139082.8498329576,1134894.5276945375,1049829.5438151867,935209.4820148123,1119538.9686863502,1286202.3705108666
2020-08-03,1197699.789361384,1142422.8234739886,1064339.1240179373,936531.3023396867,1144887.4824003791,1315368.0733744595
2020-08-04,1203926.920200759,1134885.808062186,1069108.139477514,935341.4138954933,1165156.0257269107,1314372.971029676
2020-08-05,1232035.3095921532,1141911.0879766075,1068934.6122007198,935177.7042366428,1206696.0951542268,1323993.3907680835
2020-08-06,1187606.5661357497,1130626.8499472386,1059612.5591598873,940128.1753339424,1182856.1458096292,1327184.267315657
2020-08-07,1196175.6136324273,1123704.0029105635,1065977.1035376329,939441.5479029068,1190767.069277281,1310708.8864707039
2020-08-10,1182960.6791585775,1128516.4695602076,1061410.4129702924,937238.8210897981,1191673.5530408593,1318021.282563146
2020-08-11,1153457.4452684282,1121211.141554677,1055527.0254556774,932315.51178171,1161687.5444072466,1298735.9752297625
2020-08-12,1116195.0098431285,1107688.8083172608,1043968.1852776756,925246.6497696532,1146773.625617236,1289112.0295582279
